question,answer,generated_answer
<MedVQA>What is the location of the abnormality in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the location of the abnormality in the image?,There are no polyps present.,There are no polyps.
<MedVQA>What is the location of the abnormality in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the location of the abnormality in the image?,The image does not contain any text.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality in the image?,The abnormality is located in the center and center-right.,"The abnormality is located in the center, center-right, and upper-center of the image."
<MedVQA>What is the location of the abnormality in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the location of the abnormality in the image?,"The anatomical landmark is located in the center, as well as in the center-left, center-right, upper-center, lower-center, and lower-left regions.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>What is the location of the abnormality in the image?,"Yes, the image does not contain any green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the notable feature visible in the image?,The z-line is visible.,The z-line is visible in the image.
<MedVQA>What is the notable feature visible in the image?,The image does not contain text.,The image does not contain any text.
<MedVQA>What is the notable feature visible in the image?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the notable feature visible in the image?,The abnormality is located in the upper-right and center-right areas.,"The abnormality is located in the center, upper-right, and center-right areas."
<MedVQA>What is the notable feature visible in the image?,"The abnormality has pink, red, and white colors.","The abnormality has a pink, red, and white coloration."
<MedVQA>What is the notable feature visible in the image?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the notable feature visible in the image?,There is 1 finding in the image.,There is 1 finding.
<MedVQA>What is the notable feature visible in the image?,a gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the notable feature visible in the image?,The colon is normal with no polyps.,The colon is normal with no polyps.
<MedVQA>What is the notable feature visible in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the notable feature visible in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the notable feature visible in the image?,There is 1 finding.,There are 2 findings in the image.
<MedVQA>What is the notable feature visible in the image?,"The dominant color of the abnormality is pink, red, and white.","The dominant color of the abnormality is pink, red, and white."
<MedVQA>What is the notable feature visible in the image?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, upper-right, lower-center, lower-left and lower-right.","The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What is the notable feature visible in the image?,There are 2 findings present in the image.,There are 2 findings in the image.
<MedVQA>What is the notable feature visible in the image?,The endoscopy procedure shows no polyps.,No findings were detected.
<MedVQA>What is the notable feature visible in the image?,The image shows no instruments.,There are no instruments visible.
<MedVQA>What is the notable feature visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the notable feature visible in the image?,There is 1 finding in the image.,There is 1 finding.
<MedVQA>What is the notable feature visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is visible in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,"An abnormality located in multiple positions, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.",An abnormality with pink and red colors is present in the image.
<MedVQA>What is visible in the image?,There are no instruments visible.,There are no instruments visible in the procedure.
<MedVQA>What is visible in the image?,"The colors observed in the image are pink, red, and white.","The colors observed in the image are pink, red, and white."
<MedVQA>What is visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is visible in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,A single instrument is present.,One instrument is present in the image.
<MedVQA>What is visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is visible in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is visible in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is visible in the image?,The abnormality is located in the center and all four corners of the image.,"The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>What is visible in the image?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is visible in the image?,A green/black box artefact,A green/black box artefact
<MedVQA>What is visible in the image?,The anatomical landmark is located in the center and center-right of the image.,"The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What is visible in the image?,The colon is normal and free of polyps.,The colon is normal with no polyps.
<MedVQA>What is visible in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is visible in the image?,The dominant color of the abnormality is red and pink.,"The dominant color of the abnormality is pink, red, and white."
<MedVQA>What is visible in the image?,The polyp is greater than 20mm in size.,The polyp is approximately 11-20mm in size.
<MedVQA>What is visible in the endoscopy procedure image?,An image with no instruments is visible.,There are no instruments visible in the image.
<MedVQA>What is visible in the endoscopy procedure image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is visible in the endoscopy procedure image?,"The abnormality is located in the center, upper-right, lower-right, center-right, upper-center, and lower-center regions.","The abnormality is located in the center, upper-right, lower-right and center-right."
<MedVQA>What is visible in the endoscopy procedure image?,Yes,"Yes, the image contains text."
<MedVQA>What is visible in the endoscopy procedure image?,The colon is normal with no polyps.,The colon is normal with no polyps.
<MedVQA>What is visible in the endoscopy procedure image?,Oesophagitis,Oesophagitis
<MedVQA>What is visible in the endoscopy procedure image?,"The abnormality is located at multiple positions, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is visible in the endoscopy procedure image?,A green/black box artefact.,A green/black box artefact
<MedVQA>What is visible in the endoscopy procedure image?,The focus of this endoscopy procedure is a polyp.,The focus of this endoscopy procedure is a polyp.
<MedVQA>What is visible in the endoscopy procedure image?,There are no polyps.,There are no polyps.
<MedVQA>What is visible in the endoscopy procedure image?,Yes,"Yes, the image contains text."
<MedVQA>What is visible in the endoscopy procedure image?,"Yes, there is text in the image.","Yes, the image contains text."
<MedVQA>What is visible in the endoscopy procedure image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is visible in the endoscopy procedure image?,The polyps in the image are between 5-10mm and >20mm in size.,The polyps in the image are 11-20mm in size.
<MedVQA>What is visible in the endoscopy procedure image?,Paris II A,Paris IIA
<MedVQA>What is visible in the endoscopy procedure image?,"The lesion is pink, red, white, and yellow in color.","The lesion is pink, red, and white in color."
<MedVQA>What is visible in the endoscopy procedure image?,Gastroscopy,A gastroscopy procedure
<MedVQA>What is visible in the endoscopy procedure image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is visible in the endoscopy procedure image?,There are no instruments in the image.,There are no instruments visible in the image.
<MedVQA>What is visible in the endoscopy procedure image?,"The abnormality is located in the center, lower-right, center-left, center-right and lower-center.",The abnormality is located in the center and lower-center of the image.
<MedVQA>What is the characteristic coloration of the abnormality?,The abnormality has a pink and red coloration.,"The abnormality has a pink, red, and white coloration."
<MedVQA>What is the characteristic coloration of the abnormality?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the characteristic coloration of the abnormality?,A polyp of type Paris IP,A Paris IP type polyp
<MedVQA>What is the characteristic coloration of the abnormality?,"No, the image does not have a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the characteristic coloration of the abnormality?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the characteristic coloration of the abnormality?,"The abnormality is located in multiple positions, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-right and lower-center."
<MedVQA>What is the characteristic coloration of the abnormality?,There are 2 findings.,There are 2 findings in the image.
<MedVQA>What is the characteristic coloration of the abnormality?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the characteristic coloration of the abnormality?,"An abnormality with a pink, red, and white color scheme.",The image does not contain any text.
<MedVQA>What is the characteristic coloration of the abnormality?,The procedure is an endoscopy.,A colonoscopy procedure
<MedVQA>What is the characteristic coloration of the abnormality?,1 instrument,There is 1 instrument.
<MedVQA>What is the characteristic coloration of the abnormality?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the characteristic coloration of the abnormality?,"The abnormality in the image has pink, red, and white colors.","The abnormality is pink, red, and white in color."
<MedVQA>What is the characteristic coloration of the abnormality?,A Paris IIa polyp,A Paris IIa type polyp
<MedVQA>What is the characteristic coloration of the abnormality?,The colon is polyp-free.,The colon is polyp-free.
<MedVQA>What is the characteristic coloration of the abnormality?,"The abnormality is located in multiple areas, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower left, lower right, center, and lower-center."
<MedVQA>What is the characteristic coloration of the abnormality?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the characteristic coloration of the abnormality?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the characteristic coloration of the abnormality?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the characteristic coloration of the abnormality?,There is only 1 finding.,There is 1 finding.
<MedVQA>What is the size of the polyp?,The polyp is 5-10mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the size of the polyp?,The instrument is located in the lower-right and lower-center part of the image.,The instrument is located in the lower-right and lower-center of the image.
<MedVQA>What is the size of the polyp?,"The abnormality in the image has a pink, red, and white color.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the size of the polyp?,Text is present in the image.,There are no instruments visible in the image.
<MedVQA>What is the size of the polyp?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the size of the polyp?,The z-line is visible in the image.,The z-line is visible in the image.
<MedVQA>What is the size of the polyp?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the size of the polyp?,A polyp,A polyp
<MedVQA>What is the size of the polyp?,There are no polyps.,There are no polyps.
<MedVQA>What is the size of the polyp?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What is the size of the polyp?,"Yes, the image does not contain any green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the size of the polyp?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the size of the polyp?,The instruments are not present.,There are no instruments in the image.
<MedVQA>What is the size of the polyp?,There are no polyps.,There are no polyps.
<MedVQA>What is the size of the polyp?,"Yes, the image does not contain any green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the size of the polyp?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the size of the polyp?,A polyp,A polyp is present.
<MedVQA>What is the size of the polyp?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the size of the polyp?,"The instruments visible in the image are located at the center, upper-left, center-left, and upper-center.","The instruments visible in the image are located in the center, upper-left, center-left and upper-center."
<MedVQA>What is the size of the polyp?,Yes,"Yes, the image contains text."
<MedVQA>What is the condition of the intestine in the image?,The intestine is polyp-free.,The anatomical is polyp-free.
<MedVQA>What is the condition of the intestine in the image?,There are no instruments present.,There are no instruments visible.
<MedVQA>What is the condition of the intestine in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the condition of the intestine in the image?,The procedure revealed no findings.,No findings were detected.
<MedVQA>What is the condition of the intestine in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the condition of the intestine in the image?,"The color of the abnormality is pink, white, and red.",The color of the abnormality is pink.
<MedVQA>What is the condition of the intestine in the image?,There are 2 findings.,There is 1 finding.
<MedVQA>What is the condition of the intestine in the image?,The z-line is visible.,The z-line is observed.
<MedVQA>What is the condition of the intestine in the image?,The z-line is visible.,The z-line is visible in the image.
<MedVQA>What is the condition of the intestine in the image?,1,There is 1 polyp.
<MedVQA>What is the condition of the intestine in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the condition of the intestine in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the condition of the intestine in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the condition of the intestine in the image?,The abnormality has a white and red color.,The abnormality has a pink color.
<MedVQA>What is the condition of the intestine in the image?,A polyp.,There are no instruments visible in the image.
<MedVQA>What is the condition of the intestine in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the condition of the intestine in the image?,"The instruments visible in the image are located at the center, upper-left, lower-left, center-left, upper-center, and lower-center.","The instruments visible in the image are located at the center, upper-left, lower-left and center-left."
<MedVQA>What is the condition of the intestine in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the condition of the intestine in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the condition of the intestine in the image?,"There is no instrument visible in the image, indicating that the procedure is likely a diagnostic one.",A colonoscopy procedure
<MedVQA>What is the type of artefact visible in the image?,A green/black box artefact,A green/black box artefact
<MedVQA>What is the type of artefact visible in the image?,"The abnormality is pink, red and white.","The abnormality is pink, red, and white in color."
<MedVQA>What is the type of artefact visible in the image?,The abnormality is pink and red.,"The abnormality is pink, red, and white in color."
<MedVQA>What is the type of artefact visible in the image?,"No, there is no green/black box artefact in the image.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the type of artefact visible in the image?,"Yes, there is text present in the image.","Yes, the image contains text."
<MedVQA>What is the type of artefact visible in the image?,The image does not contain any text.,The image does not contain any text.
<MedVQA>What is the type of artefact visible in the image?,The artefact is green/black.,The artefact is green/black.
<MedVQA>What is the type of artefact visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the type of artefact visible in the image?,"The color of the abnormality is pink, red, and white.","The abnormality is pink, red, and white in color."
<MedVQA>What is the type of artefact visible in the image?,There are no polyps in the image.,There are no polyps.
<MedVQA>What is the type of artefact visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the type of artefact visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the type of artefact visible in the image?,A Paris type IP polyp is present.,A Paris type polyp is present.
<MedVQA>What is the type of artefact visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the type of artefact visible in the image?,There is 1 finding in the image.,There is 1 finding.
<MedVQA>What is the type of artefact visible in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the type of artefact visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the type of artefact visible in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the type of artefact visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the type of artefact visible in the image?,"The abnormality is located in multiple regions, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What is the orientation of the instruments in the image?,"The instruments are located at the center, upper-left, lower-left, center-left, and lower-center.","The instruments are located in the center, upper-left, center-left and upper-center positions."
<MedVQA>What is the orientation of the instruments in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the orientation of the instruments in the image?,The image does not contain any text.,There are no instruments visible in the image.
<MedVQA>What is the orientation of the instruments in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the orientation of the instruments in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the orientation of the instruments in the image?,"Yes, there is text in the image.","Yes, the image contains text."
<MedVQA>What is the orientation of the instruments in the image?,The polyps are not present.,There are no polyps.
<MedVQA>What is the orientation of the instruments in the image?,The box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What is the orientation of the instruments in the image?,There are no instruments,There are no instruments visible in the image.
<MedVQA>What is the orientation of the instruments in the image?,The image shows a z-line.,The z-line is visible.
<MedVQA>What is the orientation of the instruments in the image?,No abnormal findings were detected.,No findings were detected.
<MedVQA>What is the orientation of the instruments in the image?,There are 2 findings.,There are 2 findings in the image.
<MedVQA>What is the orientation of the instruments in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the orientation of the instruments in the image?,"The abnormality is located in the center, lower-right, center-right and lower-center.",The abnormality is located in the center and lower-center of the image.
<MedVQA>What is the orientation of the instruments in the image?,"The inside of the body is normal, with no polyps visible.",The inside of the body is polyp-free.
<MedVQA>What is the orientation of the instruments in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the orientation of the instruments in the image?,The instrument is located in the lower-right and lower-center area.,The instrument is located in the lower-right and lower-center.
<MedVQA>What is the orientation of the instruments in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the orientation of the instruments in the image?,A polyp is present.,A polyp is present.
<MedVQA>What is the orientation of the instruments in the image?,The abnormality appears to be a pinkish-red colored lesion.,"The abnormality appears to be pink, red, and white in color."
<MedVQA>What is the location of the anatomical landmark?,"The anatomical landmark is located in the center, center-left, upper-center, upper-left, lower-center, and lower-left.","The anatomical landmark is located in the center, center-left, upper-center, and upper-left."
<MedVQA>What is the location of the anatomical landmark?,A polyp.,There are no instruments visible in the image.
<MedVQA>What is the location of the anatomical landmark?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the location of the anatomical landmark?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the location of the anatomical landmark?,There are no polyps.,There are no polyps.
<MedVQA>What is the location of the anatomical landmark?,There are no polyps.,There are no polyps.
<MedVQA>What is the location of the anatomical landmark?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the anatomical landmark?,There are no instruments in the image.,There are no instruments visible in the image.
<MedVQA>What is the location of the anatomical landmark?,"The instrument is located in the center, upper-left and center-left.",The instrument is located in the center and upper-center of the image.
<MedVQA>What is the location of the anatomical landmark?,One instrument is present in the image.,"The instruments present in the image are located in the center, lower-right, and lower-center."
<MedVQA>What is the location of the anatomical landmark?,The Z-line,The presence of a mucosal fold is characterized by the presence of z-line.
<MedVQA>What is the location of the anatomical landmark?,"There is an anatomical landmark located in the center, center-right, and lower-center of the image.",The z-line is visible.
<MedVQA>What is the location of the anatomical landmark?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the location of the anatomical landmark?,A polyp of type Paris is present.,A Paris type polyp is present.
<MedVQA>What is the location of the anatomical landmark?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the anatomical landmark?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the location of the anatomical landmark?,There are no instruments visible.,There are no instruments visible.
<MedVQA>What is the location of the anatomical landmark?,The instrument is located in the upper-left and upper-center.,The instrument is located in the upper-left.
<MedVQA>What is the location of the anatomical landmark?,The procedure shown in the image is a natural endoscopy.,A gastroscopy procedure
<MedVQA>What is the location of the anatomical landmark?,There are no instruments,There are no instruments present.
<MedVQA>What is present in the image?,A polyp,A polyp is present.
<MedVQA>What is present in the image?,"The instruments are located at the center, upper-left, and center-left positions.","The instruments are located in the center, upper-left, and center-left positions."
<MedVQA>What is present in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is present in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is present in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is present in the image?,No findings were detected.,No findings were detected.
<MedVQA>What is present in the image?,A Paris type IP polyp is visible.,A Paris IP type polyp
<MedVQA>What is present in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is present in the image?,"The anatomical landmark is located in the center, as well as in the center-left, center-right, upper-center, upper-right, and lower-center of the image.","The anatomical landmark is located in the center, center-right, upper-center, and upper-right areas."
<MedVQA>What is present in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image.","The abnormality is located in multiple areas, including the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What is present in the image?,A polyp.,A polyp
<MedVQA>What is present in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is present in the image?,"The abnormality is located in the center, upper-right, lower-right, center-right, upper-center, and lower-center.","The abnormality is located in the center, upper-right, lower-right and center-right."
<MedVQA>What is present in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is present in the image?,Paris IIA,A Paris type polyp is present.
<MedVQA>What is present in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is present in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is present in the image?,There is 1 finding.,There are 2 findings in the image.
<MedVQA>What is present in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>How many polyps are present in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>How many polyps are present in the image?,The colon is normal with no polyps.,The colon is normal with no polyps.
<MedVQA>How many polyps are present in the image?,Oesophagitis,Oesophagitis
<MedVQA>How many polyps are present in the image?,There is 1 finding.,There are 2 findings in this image.
<MedVQA>How many polyps are present in the image?,"No, there is no green/black box artefact in the image.","No, the image does not contain a green/black box artefact."
<MedVQA>How many polyps are present in the image?,There are no instruments visible in the image.,There are no instruments visible.
<MedVQA>How many polyps are present in the image?,"The instrument is located in the center, upper-left and center-left.",The instrument is located in the upper-left and center-left regions.
<MedVQA>How many polyps are present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>How many polyps are present in the image?,There are 2 findings present in the image.,There are 2 findings in the image.
<MedVQA>How many polyps are present in the image?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, upper-left, upper-right, lower-center, and lower-right regions of the image.","The anatomical landmark is located in the center, center-left, upper-center, and upper-right areas."
<MedVQA>How many polyps are present in the image?,No,"No, the image does not contain a green/black box artefact."
<MedVQA>How many polyps are present in the image?,The instrument is located in the upper-right and upper-center part of the image.,The instrument is located in the upper-right and upper-center of the image.
<MedVQA>How many polyps are present in the image?,The instrument is located in the upper-center.,The instrument is located in the upper-center.
<MedVQA>How many polyps are present in the image?,Paris IIA,A Paris type polyp is present.
<MedVQA>How many polyps are present in the image?,Oesophagitis,Oesophagitis
<MedVQA>How many polyps are present in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>How many polyps are present in the image?,A Paris IIa type polyp,A Paris type polyp is present.
<MedVQA>How many polyps are present in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>How many polyps are present in the image?,A z-line is observed.,The z-line is observed.
<MedVQA>How many polyps are present in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the color of the artefact in the image?,The artefact is green/black.,The artefact is green/black.
<MedVQA>What is the color of the artefact in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the color of the artefact in the image?,"The abnormality is located at the center, upper-left and upper-center.",The abnormality is located in the center and upper-center of the image.
<MedVQA>What is the color of the artefact in the image?,The instrument is located in the lower-right.,The instrument is located in the lower-right and lower-center of the image.
<MedVQA>What is the color of the artefact in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the color of the artefact in the image?,The image does not contain any text.,The image does not contain any text.
<MedVQA>What is the color of the artefact in the image?,"The abnormality is pink, red and white in color.","The abnormality is pink, red, and white in color."
<MedVQA>What is the color of the artefact in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the color of the artefact in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the color of the artefact in the image?,The box artifact is green/black.,The color of the box artifact is green/black.
<MedVQA>What is the color of the artefact in the image?,Two findings,There is 1 finding.
<MedVQA>What is the color of the artefact in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the color of the artefact in the image?,"The anatomical landmark is located in the center, center-right, upper-center, upper-right, lower-center, and lower-right positions.","The anatomical landmark is located in the center, center-right, upper-center, lower-center and lower-right areas."
<MedVQA>What is the color of the artefact in the image?,"The instrument is located in the upper-left, lower-left, center-left, and lower-center positions.",The instrument is located in the upper-left and lower-center of the image.
<MedVQA>What is the color of the artefact in the image?,The instrument is located in the lower-right and lower-center area of the image.,The instrument is located in the lower-right and lower-center of the image.
<MedVQA>What is the color of the artefact in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the color of the artefact in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the color of the artefact in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the color of the artefact in the image?,There are no instruments present in the image.,There is 1 instrument.
<MedVQA>What is the color of the artefact in the image?,The procedure does not involve the use of any instruments.,There are no instruments present.
<MedVQA>What is the number of instruments visible in the image?,1 instrument is present.,There is 1 instrument.
<MedVQA>What is the number of instruments visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of instruments visible in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the number of instruments visible in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the number of instruments visible in the image?,The color of the abnormality is pink and red.,"The abnormality is pink, red, and white in color."
<MedVQA>What is the number of instruments visible in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the number of instruments visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of instruments visible in the image?,"The abnormality has colors pink, red, and white.","The abnormality appears pink, red, and white in color."
<MedVQA>What is the number of instruments visible in the image?,"The abnormality is located in the center, lower-right, center-right and lower-center parts of the image.",The abnormality is located in the center and lower-center of the image.
<MedVQA>What is the number of instruments visible in the image?,A gastroscopy procedure.,A gastroscopy procedure
<MedVQA>What is the number of instruments visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the number of instruments visible in the image?,A colonoscopy procedure.,A colonoscopy procedure
<MedVQA>What is the number of instruments visible in the image?,The colon has no polyps.,The colon is normal with no polyps.
<MedVQA>What is the number of instruments visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of instruments visible in the image?,A polyp,A polyp
<MedVQA>What is the number of instruments visible in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the number of instruments visible in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the number of instruments visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of instruments visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the number of instruments visible in the image?,The polyp is less than 5mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the color of the artefact in the image?,The artefact is green/black.,The artefact is green/black.
<MedVQA>What is the color of the artefact in the image?,A tube,A tube
<MedVQA>What is the color of the artefact in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the color of the artefact in the image?,The color of the box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What is the color of the artefact in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the color of the artefact in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the color of the artefact in the image?,The artifact is green/black in color.,The artifact is green/black.
<MedVQA>What is the color of the artefact in the image?,A polyp,There are no instruments visible in the image.
<MedVQA>What is the color of the artefact in the image?,No instruments are visible.,There are no instruments visible in the image.
<MedVQA>What is the color of the artefact in the image?,There is 1 finding in the image.,There is 1 finding.
