caption,Q,A
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible.
Generate an image with 1 polyp.,What is the number of polyps present in the image?,1
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors orange, pink and white.",What is the color scheme of the abnormality?,"The color scheme of the abnormality is orange, pink, and white."
Generate an image with a polyp of size >20mm.,What is the size of the polyp?,The size of the polyp is greater than 20mm.
Generate a polyp of type paris iia.,What type of polyp is seen in the image?,Paris IIA
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-right, lower-right, center-right and upper-center.",Where is the abnormality located in the image?,The abnormality is located in the right and upper-central regions.
Generate an image containing oesophagitis.,What is the condition observed in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What instruments are visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the condition of the colon in the image?,The colon is normal and free of polyps.
Generate an image containing a green/black box artefact.,What type of artefact is visible in the image?,A green/black box artefact
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality?,"The abnormality appears pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of medical procedure is shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-right, upper-center and lower-center.",What anatomical landmark is visible in the image?,"The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
Generate an image containing a polyp.,What is visible in the image?,A polyp is visible in the image.
Generate an image containing tube.,What is visible in the image?,A tube
Generate an image with no findings.,What is the outcome of the endoscopy procedure?,No abnormalities or findings were detected.
Generate an image with 1 instrument.,What is the number of instruments present in the image?,There is 1 instrument.
Generate an image with 3 polyps.,How many polyps are visible in the image?,There are 3 polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text present in the image?,"Yes, there is text in the image."
Generate an image with an abnormality with the colors pink and red.,What is the characteristic of the observed abnormality?,The observed abnormality has pink and red colors.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The size of the polyp is 5-10mm.
Generate a polyp of type paris ip.,What type of polyp is present?,A Paris IP type polyp
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center-left, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located in the center-left, upper-center, and lower-center."
"Generate an image with an an instrument located in the center, upper-left, center-left and upper-center.",Where are the instruments located in the image?,"The instruments are located in the center, upper-left, center-left, and upper-center."
Generate an image containing a polyp.,What is visible in the endoscopy image?,A polyp
Generate an image containing tube.,What is visible in the image?,A tube
Generate an image with 2 findings.,How many findings are visible in the image?,There are 2 findings.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,One
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image affected by a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"yes, there is text in the image"
Generate an image with an abnormality with the colors red and pink.,What is the characteristic of the abnormality in the image?,The abnormality is red and pink in color.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is approximately 5-10mm in size.
Generate a polyp of type paris is.,What type of polyp is present?,A Paris-type polyp
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
Generate an image with an an abnormality located in the center and center-left.,What is the location of the abnormality in the image?,The abnormality is located in the center and center-left of the image.
"Generate an image with an an instrument located in the center, upper-left and upper-center.",What instruments are located in the image?,"An instrument is located in the center, upper-left, and upper-center of the image."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color of the box-like artefact?,The box-like artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The color of the abnormality is pink.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is approximately 15mm in size.
Generate a polyp of type paris ip.,What type of polyp is present?,A Paris type IP polyp is present.
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure is shown in the image.
"Generate an image with an an abnormality located in the center, upper-right, center-right and upper-center.",What is the location of the abnormality?,The abnormality is located in the center and upper-right as well as center-right and upper-center.
Generate an image containing a polyp.,What is visible in the image?,A polyp is visible.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings.
Generate an image with no instruments.,What can be observed in the image?,There are no instruments present.
Generate an image with 2 polyps.,How many polyps are visible?,There are 2 polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,No
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, grey and red.",What is the primary color of the abnormality?,Red
Generate an image with polyps of size 5-10mm and >20mm.,What is the size range of the polyps?,The polyps are of size 5-10mm and >20mm.
Generate polyps of type paris ip and paris is.,What type of polyps are visible?,The polyps are of type Paris IP and Paris IS.
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-right, center-right and upper-center.",What is the location of the abnormality?,"The abnormality is located in the center, upper-right, center-right, and upper-center."
Generate an image containing tube.,What is the main component visible in the image?,A tube
Generate an image with no findings.,What is the diagnosis of the patient?,The diagnosis is normal with no findings
Generate an image with 1 instrument.,What is the number of instruments present in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the number of polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free from any artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-left, center-left, upper-center and lower-center.",What instruments are in the image?,"The instruments are located in the center, upper-left, center-left, upper-center, and lower-center of the image."
Generate an image containing ulcerative colitis.,What is the condition depicted in this image?,Ulcerative colitis
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,The image shows no instruments.
Generate an image with no polyps.,What is the presence of polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image affected by a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and brown.",What is the characteristic of the abnormality in the image?,"The abnormality has pink, red, and brown colors."
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is present in the image?,A polyp
Generate an image containing the ileum.,What is the location of the procedure?,The procedure is in the ileum.
Generate an image with 1 finding.,How many findings are there in the image?,There is 1 finding.
Generate an image with no instruments.,What instruments are present in the image?,There are no instruments present in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,1 polyp
Generate an image containing a green/black box artefact.,What type of artefact is visible in the image?,A green/black box artefact
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the color pink.,What is the color of the abnormality in the image?,The abnormality has a pink color.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The size of the polyp is 5-10mm.
Generate a polyp of type paris is.,What type of polyp is present?,The polyp is of type Paris.
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, lower-right and lower-center.",What is the location of the abnormality in the image?,The abnormality is located in the center and also in the lower-right and lower-center regions.
Generate an image containing a polyp.,What is present in the image?,A polyp is present.
Generate an image containing polyp snare.,What is the procedure being performed?,A polyp snare procedure
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding in the image.
Generate an image with 1 instrument.,What is present in the image?,One instrument is present in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there any text in the image?,"Yes, there is text in the image."
"Generate an image with an abnormality with the colors white, red and yellow.",What can be seen in this image?,"There is an abnormality with visible colors white, red, and yellow."
Generate an image with a polyp of size >20mm.,What is the size of the polyp?,The polyp is greater than 20mm in size.
Generate a polyp of type paris ip.,What type of polyp is present?,A Paris IP type polyp is present.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-right, lower-right, center-right and lower-center.",Where are the abnormalities located?,"The abnormalities are located in the center, upper-right, lower-right, center-right, and lower-center."
Generate an image with an an instrument located in the lower-right.,What is the location of the instrument?,The instrument is located in the lower-right part of the image.
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The image contains a z-line.
Generate an image with 2 findings.,How many findings are present in this image?,There are 2 findings.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the number of polyps present in the image?,There are no polyps present.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,What is present in the image?,The image does not contain any text.
"Generate an image with an abnormality with the colors pink, red, white and yellow.",What is the color of the abnormality?,"The color of the abnormality is pink, red, white, and yellow."
Generate an image from a gastroscopy procedure.,What type of medical procedure is depicted in this image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the pattern of abnormality distribution in the image?,"The abnormality is distributed in a symmetrical pattern, with locations including upper-left, upper-right, lower-left, lower-right, center, center-left, center-right, upper-center, and lower-center."
Generate an image with an an anatomical landmark located in the center and upper-center.,What is the location of the anatomical landmark?,The anatomical landmark is located in the center and upper-center.
Generate an image containing tube.,What is shown in the image?,A medical tube
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with 1 instrument.,What is visible in the image?,One instrument
Generate an image with no polyps.,What is the result of the endoscopy procedure?,The procedure shows no polyps.
Generate an image containing a green/black box artefact.,What is the color of the artefact in the image?,The artefact is green/black.
Generate an image not containing text.,What is visible in the image?,The image does not contain any text.
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in the image?,Colonoscopy
"Generate an image with an an instrument located in the center, upper-left and upper-center.",What instruments are visible in the image?,"The image shows an instrument located in the center, upper-left, and upper-center."
Generate an image containing a polyp.,What does the image show?,A polyp
Generate an image containing biopsy forceps.,What instrument is being used in the procedure?,A biopsy forceps
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,1
Generate an image with 1 polyp.,How many polyps are present?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image affected by a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there any text in the image?,Yes
Generate an image with an abnormality with the colors pink and white.,What is the color of the abnormality in the image?,The color of the abnormality is pink and white.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The size of the polyp is 11-20mm.
Generate a polyp of type paris ip.,What is the type of polyp in the image?,The type of polyp is Paris IP.
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, lower-right, center-right and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, lower-right, center-right and lower-center."
Generate an image with an an instrument located in the lower-right and lower-center.,What is the location of the instrument in the image?,The instrument is located in the lower-right and lower-center of the image.
Generate an image containing oesophagitis.,What is visible on the endoscopy image?,Oesophagitis
Generate an image containing the z-line.,What is the feature visible in the image?,The z-line
Generate an image with 2 findings.,What is the number of findings detected in the image?,2 findings
Generate an image with no instruments.,What is visible in the image?,There are no instruments present.
Generate an image with no polyps.,What is the condition of the colon in the image?,"The colon is normal, with no polyps present."
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and white.,What does the abnormality in the image appear as?,The abnormality appears as a pink and white colored lesion.
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-right, upper-center and lower-center.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in the center, center-right, upper-center, and lower-center."
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free of any artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image not containing text.,Is the image containing text?,No
"Generate an image with an abnormality with the colors pink, red and white.",What is the dominant color of the abnormality in the image?,"The dominant color of the abnormality is pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located in multiple areas of the image, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, upper-left, lower-center and lower-rigth.",What is the location of the anatomical landmark?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, upper-left, lower-center, and lower-right areas."
Generate an image containing tube.,What is the object visible in the image?,A tube
Generate an image with no findings.,What is the outcome of the endoscopy procedure?,The procedure reveals no findings.
Generate an image with 1 instrument.,What is present in the image?,There is 1 instrument
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free of artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center and lower-center.",What is the arrangement of the instrument in the image?,"The instrument is located in multiple positions, including center, upper-left, upper-right, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing ulcerative colitis.,What is the diagnosis of the patient?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,1 finding
Generate an image with no instruments.,What instruments are visible in the image?,No instruments are visible in the image.
Generate an image with no polyps.,What is the condition of the targeted area?,It is polyp-free.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and red.,What is the color of the abnormality in the endoscopy image?,The abnormality has pink and red colors.
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,Colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located at multiple positions, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is the type of image?,A polyp is present in the image.
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What instruments are present in the image?,There are no instruments present in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color of the artefact?,The artefact is green/black.
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the color of the abnormality?,The abnormality has pink and red colors.
Generate an image with a polyp of size >20mm.,What is the size of the polyp in the image?,The polyp is more than 20mm in size.
Generate a polyp of type paris is.,What type of polyp is visible in the image?,Paris type
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,Colonoscopy
"Generate an image with an an abnormality located in the center, upper-right, lower-right, center-right and upper-center.",What is the location of the abnormality in the image?,"The abnormality is located in the upper-right, lower-right, center-right, and upper-center of the image."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the condition of the colon in the image?,"The colon is normal, with no polyps present."
Generate an image containing a green/black box artefact.,What is the color of the box artefact in the image?,The box artefact is green/black in color.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and red.,What color is the abnormality in the image?,The abnormality is pink and red in color.
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image."
Generate an image containing a polyp.,What is the nature of the lesion observed in the image?,A polyp is observed.
Generate an image with 2 findings.,How many findings are there in the image?,There are 2 findings.
Generate an image with no instruments.,What is shown in the image?,There are no instruments visible in the image.
Generate an image with 2 polyps.,How many polyps are present?,There are 2 polyps present.
Generate an image containing a green/black box artefact.,What is the appearance of the artefact in the image?,The artefact appears as a green/black box.
Generate an image containing text.,Is there text in the image?,yes
Generate an image with an abnormality with the colors white and pink.,What is the appearance of the abnormality in the image?,The abnormality is white and pink in color.
Generate an image with polyps of size 5-10mm and 11-20mm.,What is the size of the polyps in the image?,The polyps are approximately 5-10mm and 11-20mm in size.
Generate a polyp of type paris is.,What type of polyp is present?,A polyp of type Paris is present.
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-right, lower-right, center-right, upper-center and lower-center.",What is the distribution of an abnormality in the image?,"The abnormality is located in the center, upper-right, lower-right, center-right, upper-center, and lower-center regions."
Generate an image containing tube.,What is the main component visible in the image?,A tube
Generate an image with no findings.,What was the outcome of the endoscopy procedure?,The procedure was normal with no findings.
Generate an image with 1 instrument.,What is shown in the image?,An instrument
Generate an image with no polyps.,What is the condition of the colon?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the box artefact?,The color of the box artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an instrument located in the upper-right.,What is the location of the instrument?,The instrument is located in the upper-right.
Generate an image containing ulcerative colitis.,What is the condition shown in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is the presence of instruments in this image?,There are no instruments in this image.
Generate an image with no polyps.,What's the condition of the colon in the image?,The colon has no polyps.
Generate an image not containing a green/black box artefact.,Does the endoscopy image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and red.,What is the characteristic of the abnormality in the image?,The abnormality in the image has pink and red colors.
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing tube.,What is the main component visible in the image?,A tube
Generate an image with no findings.,What is the outcome of the procedure?,No abnormal findings were detected.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the status of the polyps in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the box artefact?,The box artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an instrument located in the upper-right and center-right.,What instruments are visible in the image?,The image shows instruments located in the upper-right and center-right positions.
Generate an image containing a polyp.,What is visible in the image?,A polyp.
Generate an image containing polyp snareandmetal clip.,What is being performed in the procedure?,A polyp snare procedure is being performed.
Generate an image with 4 findings.,How many findings are observed?,There are 4 findings observed.
Generate an image with 3 instruments.,How many instruments are shown in the image?,There are 3 instruments
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image free from a green/black box artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is text present in the image?,Yes
"Generate an image with an abnormality with the colors red, pink and brown.",What is the color of the abnormality in the image?,"The color of the abnormality is red, pink, and brown."
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is 11-20mm in size.
Generate a polyp of type paris ip.,What type of polyp is present in the image?,The polyp is of type Paris IP.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-right and center-right.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-right and center-right."
"Generate an image with an an instrument located in the center, lower-left, lower-right, center-right and lower-center.",What is the position of the instrument in the image?,"The instrument is located in the center, lower-left, lower-right, center-right, and lower-center."
Generate an image containing a polyp.,What is visible in the image?,A polyp is visible in the image.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What type of endoscopy procedure is being performed in this image?,"There are no instruments present in the image, indicating that it is likely a diagnostic endoscopy procedure."
Generate an image with 1 polyp.,How many polyps are visible in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there any text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors orange, yellow and pink.",What does the endoscopy procedure show?,"The procedure shows an abnormality with orange, yellow, and pink colors."
Generate an image with a polyp of size >20mm.,What is the size of the polyp?,The size of the polyp is greater than 20mm.
Generate a polyp of type paris iia.,What is the type of polyp in the image?,A Paris IIA type polyp
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,The image is from a colonoscopy procedure.
"Generate an image with an an abnormality located in the upper-left, upper-right, center-right and upper-center.",What is the location of the abnormality in the image?,"The abnormality is located in the upper-left, upper-right, center-right, and upper-center."
Generate an image containing a polyp.,What is visible in the image?,A polyp is visible in the image.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are there in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color of the artefact?,The artefact is green/black.
Generate an image containing text.,Is there text present in the image?,Yes
Generate an image with an abnormality with the colors pink and white.,What is the color of the abnormality in the image?,The color of the abnormality is pink and white.
Generate an image with a polyp of size >20mm.,What is the size of the polyp?,The polyp is larger than 20mm in size.
Generate a polyp of type paris ip.,What type of polyp is visible?,The polyp is of Paris IP type.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,Colonoscopy
"Generate an image with an an abnormality located in the center, lower-right, center-right and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, lower-right, center-right, and lower-center areas."
Generate an image containing ulcerative colitis.,What is the diagnosis?,Ulcerative colitis
Generate an image containing tube.,What is the object visible in the image?,A tube
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with 1 instrument.,How many instruments are visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the condition of the colon in this image?,The colon is normal with no polyps.
Generate an image not containing a green/black box artefact.,Is the image free from artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality?,"The abnormality is pink, red and white in color."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image with an an instrument located in the lower-right.,What is the location of the instrument?,The instrument is located in the lower-right.
Generate an image containing tube.,What is the object visible in the image?,A tube
Generate an image with no findings.,What is the type of finding in the image?,There are no findings in the image.
Generate an image with 1 instrument.,What type of instrument is visible in the image?,One instrument
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free of artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,Colonoscopy
"Generate an image with an an instrument located in the center, upper-left, center-left and upper-center.",Where are the instruments located in the image?,"The instruments are located in the center, upper-left, center-left, and upper-center of the image."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image containing the pylorus.,What is the anatomical structure visible in this image?,The pylorus
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are present in the image?,One polyp is present in the image.
Generate an image containing a green/black box artefact.,What kind of artefact is visible in the image?,A green/black box artefact
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The abnormality is pink.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is 5-10mm in size.
Generate a polyp of type paris ip.,What type of polyp is visible?,A polyp of type Paris IP is visible.
Generate an image from a gastroscopy procedure.,What is the type of procedure shown in the image?,A gastroscopy procedure
Generate an image with an an abnormality located in the center-left.,What is the location of the abnormality?,The abnormality is located in the center-left.
Generate an image with an an anatomical landmark located in the center-right.,What is the location of the anatomical landmark?,The anatomical landmark is located in the center-right.
Generate an image containing oesophagitis.,What is the issue present in the oesophagus?,Oesophagitis
Generate an image containing the z-line.,What is the notable feature observed in the image?,The z-line is present.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What type of endoscopy image is shown?,The image is of a scope without any instruments.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,No
Generate an image not containing text.,Is the image containing text?,No
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality found in the image?,"The color of the abnormality is pink, red, and white."
